date,open,high,low,close,volume,日期,代码
2026-07-28,3823.133,3844.012,3797.373,3813.315,49482912600,2026-07-29,sh000001
2026-07-28,3823.133,3844.012,3797.373,3813.315,49482912600,2026-07-29,sh000001
2026-07-29,3823.293,3845.766,3782.481,3828.469,57122639100,2026-07-29,sh000001
2026-07-30,3812.111,3839.341,3767.503,3804.693,59229892300,2026-07-30,sh000001
2026-07-31,3833.536,3847.093,3822.374,3832.262,59752942700,2026-07-31,sh000001
2026-08-03,3812.613,3827.636,3797.643,3809.663,52451696000,2026-08-03,sh000001
2026-08-04,3816.37,3831.94,3799.524,3822.285,54032492200,2026-08-04,sh000001
2026-08-05,3815.122,3884.397,3815.122,3878.43,59215512400,2026-08-05,sh000001
2026-08-07,3896.485,3940.935,3885.625,3940.037,56498858200,2026-08-07,sh000001
2026-08-10,3943.816,3967.592,3938.625,3966.594,54211811000,2026-08-10,sh000001
2026-08-11,3950.708,3966.391,3930.639,3934.093,52949094400,2026-08-11,sh000001
2026-08-12,3933.553,3950.621,3927.549,3946.675,50325701100,2026-08-12,sh000001
2026-08-13,3957.161,3968.476,3924.642,3926.965,57279367700,2026-08-13,sh000001
2026-08-14,3930.022,3932.641,3903.705,3927.176,49952561300,2026-08-14,sh000001
2026-08-17,3930.104,3983.507,3924.474,3982.654,48983402700,2026-08-17,sh000001
2026-08-18,3979.49,3994.181,3955.601,3990.304,51123428700,2026-08-18,sh000001
2026-08-19,3952.122,3961.137,3879.579,3894.422,57219121300,2026-08-19,sh000001
2026-08-20,3907.206,3925.062,3888.099,3903.721,50663395400,2026-08-20,sh000001
2026-08-21,3891.175,3912.131,3883.787,3905.203,44689586800,2026-08-21,sh000001
2026-08-24,3902.696,3910.239,3855.352,3882.008,48693141200,2026-08-24,sh000001
2026-08-25,3863.37,3896.206,3850.863,3889.445,46411726400,2026-08-25,sh000001
2026-08-26,3881.741,3926.435,3881.741,3912.524,48955302100,2026-08-26,sh000001
